Species,SpeciesCode,Group,Ag_Wetlands,SeasonalStatus,Seasons,PeakStart,PeakEnd,Comments
Eared Grebe,EAGR,Invert-eating divers,,winter resident,Nov-Mar,11,3,mainly on SS;  small numbers on other substantial water bodies
Ruddy Duck,RUDU,Invert-eating divers,,winter resident,Oct thru mid-Apr,10,4,"mainly on SS; frehswater lakes, ponds, wetlands"
American White Pelican,AWPE,Pelicans & cormorants,N,winter resident,mid-Oct thru Mar,10,3,"mainly on SS, but some large lakes and reservoirs"
Brown Pelican,BRPE,Pelicans & cormorants,N,nonbreeding summer visitor,June-Oct,6,10,mainly on SS
Double-crested Cormorant,DCCO,Pelicans & cormorants,N,"year-round resident but peak numbers in ""winter"" (breeds very early at this site)",Sep-Apr,9,4,mainly on SS; some on lakes and reservoirs
California Gull,CAGU,Gulls,,winter resident (mainly); very small numbers breed,mid-Jul to mid-Mar,7,3,"mainly on SS shoreline; few in ag fields and ponds, lakes, reservoirs"
Ring-billed Gull,RBGU,Gulls,,winter resident,mid-Jul to mid-Mar,7,3,"large numbers in ag fields and on SS shoreline; ponds, lakes, reservoirs"
Black Skimmer,BLSK,Terns,N,summer resident (breeds),May-Sep,5,9,SS only
Black Tern,BLTE,Terns,N,"migrant, mainly in fall",Jul-Sep,7,11,much smaller numbers mid-Apr thru May
Gull-billed Tern,GBTE,Terns,N,summer resident (breeds),mid-Mar through Aug,3,8,"mainly SS, but forages over uplands neaby"
Cattle Egret,CAEG,Waders,Y,year round (breeds),year round,1,12,"vast majority in irrigated ag lands (alfalfa, pasture, bermuda grass)"
Least Bittern,LEBI,Waders,Y,"year round resident, but few in winter",Apr-Sep,4,9,marshes only
Snowy Egret,SNEG,Waders,Y,year-round resident (breeds),year round; peak Jul-Sep,7,9,
White-faced Ibis,WFIB,Waders,Y,winter resident (mainly); small numbers breed irregularly,Sep-Apr,9,4,"vast majority in irrigated ag lands (alfalfa, pasture, bermuda grass)"
American Avocet,AMAV,Shorebirds,,winter resident (mainly); small numbers breed irregularly,Jul-Apr,7,4,SS and adjacent impoundments
Black-necked Stilt,BNST,Shorebirds,,year round resident (breeds),year round; peak Jul-Sep,7,9,SS and adjacent impoundments; some in flooded fields
Long-billed Curlew,LBCU,Shorebirds,,winter resident,Jul-Mar,7,3,"vast majority in irrigated ag lands (alfalfa, pasture, bermuda grass)"
Marbled Godwit,MAGO,Shorebirds,,winter resident,Jul-Apr,7,4,"SS, impoudments,; few in ag gields"
Whimbrel,WHIM,Shorebirds,,"migrant, mainly in spring",Mar-May; much smaller numbers Jul-Aug,3,5,"vast majority in irrigated ag lands (alfalfa, pasture, bermuda grass)"
dowitcher spp.,UNDO,Shorebirds,,LBDO is winter resident; SBDO is migrant (mainly spring),mid-Jul thru mid-May,7,5,"SS shoreline, impoundments, ponds, and flood-irrigated fields"
Dunlin,DUNL,Shorebirds,,winter resident,Oct-Apr,10,4,"SS shoreline, impoundments; few in flooded fields"
Snowy Plover,SNPL,Shorebirds,,year-round resident (breeds),year round; somewhat higher numbers Apr-Sep,3,9,sandy and alkaline flats on shoreline and and impoundments
Western Sandpiper,WESA,Shorebirds,,winter resident but peak numbers in migration ,Jul-Apr,7,4,"SS shoreline, impoundments, flooded fields"
,GULLS,,,,,7,3,
,SHORES,,,,,11,2,
,TERNS,,,,,11,2,
,PELNCOR,,,,,11,2,
,INVERT,,,,,11,3,
,WADERS,,,,,11,2,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
